Date;AAPL;KO;META;MS;MSFT
2012-11-28;17.87703514099121;27.210844039916992;26.360000610351562;13.489387512207031;22.503936767578125
2012-11-29;18.073917388916016;27.50786781311035;27.31999969482422;13.473403930664062;22.166704177856445
2012-11-30;17.94879722595215;27.471641540527344;28.0;13.481398582458496;21.895275115966797
2012-12-03;17.976701736450195;27.080434799194336;27.040000915527344;13.161741256713867;21.738996505737305
2012-12-04;17.659603118896484;26.9138126373291;27.459999084472656;13.273624420166016;21.689640045166016
2012-12-05;16.523086547851562;27.02971649169922;27.709999084472656;13.56929874420166;21.936397552490234
2012-12-06;16.782222747802734;27.080434799194336;26.969999313354492;13.377508163452148;21.985748291015625
2012-12-07;16.35318946838379;27.31950569152832;27.489999771118164;13.561309814453125;21.763668060302734
2012-12-10;16.248003005981445;27.26879119873047;27.84000015258789;13.59327507019043;22.158470153808594
2012-12-11;16.602825164794922;27.428178787231445;27.979999542236328;14.1846342086792;22.471033096313477
2012-12-12;16.529521942138672;27.26879119873047;27.579999923706055;14.144679069519043;22.405223846435547
2012-12-13;16.244020462036133;27.23983383178711;28.239999771118164;14.224586486816406;22.29829978942871
2012-12-14;15.633739471435547;27.283287048339844;26.809999465942383;14.42437744140625;22.051549911499023
2012-12-17;15.910969734191895;27.167375564575195;26.75;14.807961463928223;22.290081024169922
2012-12-18;16.373130798339844;27.007986068725586;27.709999084472656;15.279448509216309;22.668424606323242
2012-12-19;16.14035987854004;26.645767211914062;27.40999984741211;15.255471229553223;22.46280288696289
2012-12-20;15.999905586242676;26.841360092163086;27.360000610351562;15.399314880371094;22.767139434814453
2012-12-21;15.926309585571289;26.725446701049805;26.260000228881836;15.119622230529785;22.577957153320312
2012-12-24;15.952070236206055;26.609535217285156;26.93000030517578;15.143595695495605;22.257177352905273
2012-12-26;15.732185363769531;26.384952545166016;26.510000228881836;15.087657928466797;22.09267234802246
2012-12-27;15.795356750488281;26.384952545166016;26.049999237060547;14.999751091003418;22.174922943115234
2012-12-28;15.627606391906738;26.058942794799805;25.90999984741211;14.879880905151367;21.837696075439453
2012-12-31;16.3200740814209;26.26178741455078;26.6200008392334;15.279448509216309;21.96929931640625
2013-01-02;16.837114334106445;27.23983383178711;28.0;15.679014205932617;22.71778678894043
2013-01-03;16.624595642089844;27.23983383178711;27.770000457763672;15.647045135498047;22.41345977783203
2013-01-04;16.16152572631836;27.283287048339844;28.760000228881836;16.1345272064209;21.993968963623047
2013-01-07;16.06645393371582;27.022476196289062;29.420000076293945;15.822857856750488;21.95284652709961
2013-01-08;16.10968780517578;26.8341121673584;29.059999465942383;15.702985763549805;21.837696075439453
2013-01-09;15.857919692993164;26.826875686645508;30.59000015258789;15.679014205932617;21.961074829101562
2013-01-10;16.054500579833984;26.776165008544922;31.299999237060547;16.25439453125;21.763668060302734
2013-01-11;15.95605182647705;26.73993682861328;31.719999313354492;16.1185359954834;22.067995071411133
2013-01-14;15.387181282043457;26.797893524169922;30.950000762939453;16.038625717163086;22.117341995239258
2013-01-15;14.901718139648438;27.03697395324707;30.100000381469727;16.326322555541992;22.380558013916016
2013-01-16;15.520276069641113;27.03697395324707;29.850000381469727;16.414216995239258;22.240734100341797
2013-01-17;15.41569995880127;27.17461585998535;30.139999389648438;16.5820369720459;22.41345977783203
2013-01-18;15.333517074584961;27.3122615814209;29.65999984741211;17.88463020324707;22.41345977783203
2013-01-22;15.479790687561035;26.89931869506836;30.729999542236328;18.364107131958008;22.331199645996094
2013-01-23;15.763150215148926;26.89931869506836;30.81999969482422;18.116371154785156;22.709552764892578
2013-01-24;13.815495491027832;26.884830474853516;31.079999923706055;18.060434341430664;22.726001739501953
